,Date,Sales,Day before holiday,Non Holiday date,Day after holiday,Non Holiday,Payment Week,Weekend,No. of competitors,Quarterly Average sale,Montly Average sale,Qtrly sales std dev,Monthly sale std dev,dayofweek,month,sin_dow,lag_1,lag_7,lag_3,lag_5,rolling_mean_7
0,2018-02-14,132,0,0,1,1,0,0,7,136,137,38,41,2,2,0.9749279121818236,,,,,
1,2018-02-15,149,0,0,1,1,0,0,7,136,137,38,41,3,2,0.43388373911755823,132.0,,,,
2,2018-02-16,130,0,1,0,1,0,0,7,136,137,38,41,4,2,-0.433883739117558,149.0,,,,
3,2018-02-17,174,0,1,0,1,0,1,7,136,137,38,41,5,2,-0.9749279121818236,130.0,,132.0,,
4,2018-02-18,185,0,1,0,1,0,1,7,136,137,38,41,6,2,-0.7818314824680299,174.0,,149.0,,
5,2018-02-19,121,0,1,0,1,0,0,7,136,137,38,41,0,2,0.0,185.0,,130.0,132.0,
6,2018-02-20,110,0,1,0,1,0,0,7,136,137,38,41,1,2,0.7818314824680298,121.0,,174.0,149.0,143.0
7,2018-02-21,105,0,1,0,1,0,0,7,136,137,38,41,2,2,0.9749279121818236,110.0,132.0,185.0,130.0,139.14285714285714
8,2018-02-22,129,0,1,0,1,0,0,7,136,137,38,41,3,2,0.43388373911755823,105.0,149.0,121.0,174.0,136.28571428571428
9,2018-02-23,143,0,1,0,1,0,0,7,136,137,38,41,4,2,-0.433883739117558,129.0,130.0,110.0,185.0,138.14285714285714
10,2018-02-26,154,0,1,0,1,0,0,8,136,137,38,41,0,2,0.0,143.0,174.0,105.0,121.0,135.28571428571428
11,2018-02-27,161,0,1,0,1,0,0,8,136,137,38,41,1,2,0.7818314824680298,154.0,185.0,129.0,110.0,131.85714285714286
12,2018-02-28,116,0,1,0,1,1,0,8,136,137,38,41,2,2,0.9749279121818236,161.0,121.0,143.0,105.0,131.14285714285714
13,2018-03-01,116,0,1,0,1,0,0,8,136,122,38,33,3,3,0.43388373911755823,116.0,110.0,154.0,129.0,132.0
14,2018-03-02,109,0,1,0,1,0,0,8,136,137,38,41,4,3,-0.433883739117558,116.0,105.0,161.0,143.0,132.57142857142858
15,2018-03-03,124,0,1,0,1,0,1,8,136,139,38,36,5,3,-0.9749279121818236,109.0,129.0,116.0,154.0,131.85714285714286
16,2018-03-04,139,0,1,0,1,0,1,8,137,129,24,21,6,3,-0.7818314824680299,124.0,143.0,116.0,161.0,131.28571428571428
17,2018-03-05,107,0,1,0,1,1,0,8,137,138,24,29,0,3,0.0,139.0,154.0,109.0,116.0,124.57142857142857
18,2018-03-06,116,0,1,0,1,1,0,8,137,144,24,20,1,3,0.7818314824680298,107.0,161.0,124.0,116.0,118.14285714285714
19,2018-03-07,139,0,1,0,1,1,0,8,134,130,23,21,2,3,0.9749279121818236,116.0,116.0,139.0,109.0,121.42857142857143
20,2018-03-08,150,0,1,0,1,1,0,8,134,134,23,24,3,3,0.43388373911755823,139.0,116.0,107.0,124.0,126.28571428571429
21,2018-03-09,168,0,1,0,1,1,0,8,134,141,23,23,4,3,-0.433883739117558,150.0,109.0,116.0,139.0,134.71428571428572
22,2018-03-10,131,0,1,0,1,1,1,8,133,129,46,31,5,3,-0.9749279121818236,168.0,124.0,139.0,107.0,135.71428571428572
23,2018-03-11,146,0,1,0,1,0,1,8,133,134,46,29,6,3,-0.7818314824680299,131.0,139.0,150.0,116.0,136.71428571428572
